UnderlyingSymbol,UnderlyingPrice,Exchange,OptionSymbol,OptionExt,Type,Expiration, DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,AKA
AAP,192.04,*,AAP151016P00095000,,put,10/16/2015,10/01/2015,95,0,0,0.5,0,0,1.8013,-0.0174,0.0613,-10.053,1.6741,AAP151016P00095000
AAP,192.04,*,AAP151016C00100000,,call,10/16/2015,10/01/2015,100,0,89.6,93,0,0,1.8903,0.971,0.09,-16.3173,2.5785,AAP151016C00100000
AAP,192.04,*,AAP151016P00100000,,put,10/16/2015,10/01/2015,100,0,0,0.5,0,0,1.6834,-0.0186,0.0695,-9.9479,1.7726,AAP151016P00100000
AAP,192.04,*,AAP151016C00105000,,call,10/16/2015,10/01/2015,105,0,84.6,88,0,0,1.7665,0.9689,0.1018,-16.1193,2.7251,AAP151016C00105000
AAP,192.04,*,AAP151016P00105000,,put,10/16/2015,10/01/2015,105,0,0,0.5,0,0,1.5713,-0.0199,0.0789,-9.8397,1.8785,AAP151016P00105000
AAP,192.04,*,AAP151016C00110000,,call,10/16/2015,10/01/2015,110,0,79.6,82.9,0,0,1.6124,0.9692,0.1109,-14.6341,2.7087,AAP151016C00110000
AAP,192.04,*,AAP151016P00110000,,put,10/16/2015,10/01/2015,110,0,0,0.5,0,0,1.4639,-0.0213,0.0898,-9.7178,1.9914,AAP151016P00110000
AAP,192.04,*,AAP151016C00115000,,call,10/16/2015,10/01/2015,115,0,74.6,77.9,0,0,1.5009,0.967,0.1261,-14.427,2.8678,AAP151016C00115000
AAP,192.04,*,AAP151016P00115000,,put,10/16/2015,10/01/2015,115,0,0,0.5,0,0,1.3611,-0.0229,0.1025,-9.5909,2.1139,AAP151016P00115000
AAP,192.04,*,AAP151016C00120000,,call,10/16/2015,10/01/2015,120,0,69.8,72.9,0,0,1.3938,0.9645,0.1439,-14.2035,3.0394,AAP151016C00120000
AAP,192.04,*,AAP151016P00120000,,put,10/16/2015,10/01/2015,120,0,0,0.5,0,0,1.2623,-0.0246,0.1175,-9.4551,2.2471,AAP151016P00120000
AAP,192.04,*,AAP151016C00125000,,call,10/16/2015,10/01/2015,125,0,65,67.9,0,0,1.2906,0.9619,0.165,-13.9646,3.2264,AAP151016C00125000
AAP,192.04,*,AAP151016P00125000,,put,10/16/2015,10/01/2015,125,0,0,0.5,0,0,1.167,-0.0266,0.1353,-9.307,2.3926,AAP151016P00125000
AAP,192.04,*,AAP151016C00130000,,call,10/16/2015,10/01/2015,130,0,60,62.9,0,0,1.1908,0.9589,0.1902,-13.7057,3.4308,AAP151016C00130000
AAP,192.04,*,AAP151016P00130000,,put,10/16/2015,10/01/2015,130,0,0,0.5,0,0,1.075,-0.0287,0.1568,-9.1482,2.5532,AAP151016P00130000
AAP,192.04,*,AAP151016C00135000,,call,10/16/2015,10/01/2015,135,0,55,57.9,0,0,1.0941,0.9555,0.2206,-13.4259,3.6565,AAP151016C00135000
AAP,192.04,*,AAP151016P00135000,,put,10/16/2015,10/01/2015,135,0.5,0,0.5,0,10,0.9857,-0.0311,0.1829,-8.9719,2.7309,AAP151016P00135000
AAP,192.04,*,AAP151016C00140000,,call,10/16/2015,10/01/2015,140,0,49.9,52.9,0,0,1.0001,0.9517,0.2579,-13.1208,3.9078,AAP151016C00140000
AAP,192.04,*,AAP151016P00140000,,put,10/16/2015,10/01/2015,140,0.65,0,0.5,0,1,0.8991,-0.0339,0.2152,-8.7841,2.9314,AAP151016P00140000
AAP,192.04,*,AAP151016C00145000,,call,10/16/2015,10/01/2015,145,0,45.1,47.8,0,0,0.8839,0.9514,0.2931,-11.6596,3.9246,AAP151016C00145000
AAP,192.04,*,AAP151016P00145000,,put,10/16/2015,10/01/2015,145,0,0,0.5,0,0,0.8147,-0.0372,0.2559,-8.5757,3.1585,AAP151016P00145000
AAP,192.04,*,AAP151016C00150000,,call,10/16/2015,10/01/2015,150,0,40.1,42.9,0,0,0.819,0.942,0.3638,-12.4216,4.5136,AAP151016C00150000
AAP,192.04,*,AAP151016P00150000,,put,10/16/2015,10/01/2015,150,0,0,0.5,0,22,0.7323,-0.041,0.3083,-8.3453,3.42,AAP151016P00150000
AAP,192.04,*,AAP151016C00155000,,call,10/16/2015,10/01/2015,155,35.5,35.1,38,0,7,0.7512,0.9311,0.4535,-13.0245,5.1613,AAP151016C00155000
AAP,192.04,*,AAP151016P00155000,,put,10/16/2015,10/01/2015,155,0.32,0,0.5,0,18,0.6515,-0.0456,0.3775,-8.0889,3.7263,AAP151016P00155000
AAP,192.04,*,AAP151016C00160000,,call,10/16/2015,10/01/2015,160,16.1,30.2,32.9,0,12,0.6448,0.9282,0.5453,-11.5546,5.3273,AAP151016C00160000
AAP,192.04,*,AAP151016P00160000,,put,10/16/2015,10/01/2015,160,0.25,0,0.5,0,50,0.572,-0.0512,0.4721,-7.7973,4.0916,AAP151016P00160000
AAP,192.04,*,AAP151016C00165000,,call,10/16/2015,10/01/2015,165,12.05,25.3,28,0,11,0.5759,0.913,0.7065,-11.9393,6.1643,AAP151016C00165000
AAP,192.04,*,AAP151016P00165000,,put,10/16/2015,10/01/2015,165,0.25,0.15,0.35,2,75,0.4573,-0.046,0.5422,-5.7233,3.757,AAP151016P00165000
AAP,192.04,*,AAP151016C00170000,,call,10/16/2015,10/01/2015,170,3.9,20.3,23.2,0,9,0.5172,0.8881,0.9458,-12.8809,7.4105,AAP151016C00170000
AAP,192.04,*,AAP151016P00170000,,put,10/16/2015,10/01/2015,170,0.37,0.15,0.65,5,796,0.4429,-0.0802,0.8637,-8.5496,5.7959,AAP151016P00170000
AAP,192.04,*,AAP151016C00175000,,call,10/16/2015,10/01/2015,175,10.7,15.6,18.4,0,50,0.4502,0.8566,1.2912,-13.321,8.8066,AAP151016C00175000
AAP,192.04,*,AAP151016P00175000,,put,10/16/2015,10/01/2015,175,0.6,0.45,0.7,4,335,0.3686,-0.0999,1.2219,-8.3753,6.8243,AAP151016P00175000
AAP,192.04,*,AAP151016C00180000,,call,10/16/2015,10/01/2015,180,10.57,11.1,13.7,0,186,0.3842,0.8083,1.8244,-13.7038,10.6201,AAP151016C00180000
AAP,192.04,*,AAP151016P00180000,,put,10/16/2015,10/01/2015,180,1.19,0.85,1.2,9,54,0.3408,-0.1652,1.8727,-10.9654,9.6689,AAP151016P00180000
AAP,192.04,*,AAP151016C00185000,,call,10/16/2015,10/01/2015,185,9.1,8.4,9.1,36,141,0.3124,0.7334,2.7017,-13.4147,12.7887,AAP151016C00185000
AAP,192.04,*,AAP151016P00185000,,put,10/16/2015,10/01/2015,185,1.8,1.65,1.95,231,260,0.3053,-0.2623,2.7422,-12.8764,12.6834,AAP151016P00185000
AAP,192.04,*,AAP151016C00190000,,call,10/16/2015,10/01/2015,190,4.99,5.2,5.7,31,190,0.2977,0.5827,3.3687,-15.1545,15.1931,AAP151016C00190000
AAP,192.04,*,AAP151016P00190000,,put,10/16/2015,10/01/2015,190,4,3.2,3.7,64,84,0.3016,-0.418,3.3262,-15.2291,15.1992,AAP151016P00190000
AAP,192.04,*,AAP151016C00195000,,call,10/16/2015,10/01/2015,195,2.6,2.7,3,45,707,0.2756,0.4036,3.61,-13.9019,15.0724,AAP151016C00195000
AAP,192.04,*,AAP151016P00195000,,put,10/16/2015,10/01/2015,195,6.11,5.6,6.2,1,1,0.2928,-0.5895,3.4119,-14.6961,15.1354,AAP151016P00195000
AAP,192.04,*,AAP151016C00200000,,call,10/16/2015,10/01/2015,200,0.85,1.05,1.35,19,378,0.2633,0.2319,2.9769,-10.4549,11.8746,AAP151016C00200000
AAP,192.04,*,AAP151016P00200000,,put,10/16/2015,10/01/2015,200,11,8.6,10.9,50,143,0.3869,-0.6835,2.3638,-17.7791,13.8558,AAP151016P00200000
AAP,192.04,*,AAP151016C00210000,,call,10/16/2015,10/01/2015,210,0.35,0,0.5,0,776,0.3196,0.0891,1.296,-6.7001,6.2757,AAP151016C00210000
AAP,192.04,*,AAP151016P00210000,,put,10/16/2015,10/01/2015,210,36.1,17.2,20.3,0,15,0.5222,-0.7855,1.4357,-19.6606,11.3582,AAP151016P00210000
AAP,192.04,*,AAP151016C00220000,,call,10/16/2015,10/01/2015,220,0,0,0.5,0,0,0.4382,0.0688,0.7768,-7.5444,5.157,AAP151016C00220000
AAP,192.04,*,AAP151016P00220000,,put,10/16/2015,10/01/2015,220,0,27.1,30.1,0,0,0.654,-0.831,0.9901,-21.2664,9.8107,AAP151016P00220000
AAP,192.04,*,AAP151016C00230000,,call,10/16/2015,10/01/2015,230,0,0,0.5,0,0,0.5451,0.0575,0.5428,-8.1552,4.4824,AAP151016C00230000
AAP,192.04,*,AAP151016P00230000,,put,10/16/2015,10/01/2015,230,0,37.2,40,0,0,0.7759,-0.8572,0.7471,-22.5823,8.782,AAP151016P00230000
AAP,192.04,*,AAP151016C00240000,,call,10/16/2015,10/01/2015,240,0,0,0.5,0,0,0.6433,0.0501,0.4126,-8.6348,4.022,AAP151016C00240000
AAP,192.04,*,AAP151016P00240000,,put,10/16/2015,10/01/2015,240,0,46.9,50.4,0,0,0.9435,-0.8576,0.6131,-27.4239,8.7634,AAP151016P00240000
AAP,192.04,*,AAP151016C00250000,,call,10/16/2015,10/01/2015,250,0,0,0.5,0,0,0.7346,0.0449,0.331,-9.0294,3.6837,AAP151016C00250000
AAP,192.04,*,AAP151016P00250000,,put,10/16/2015,10/01/2015,250,75.5,56.9,60.4,0,11,1.0574,-0.8693,0.5159,-28.9859,8.2649,AAP151016P00250000
AAP,192.04,*,AAP151016C00260000,,call,10/16/2015,10/01/2015,260,0,0,0.5,0,0,0.8201,0.041,0.2755,-9.3646,3.4226,AAP151016C00260000
AAP,192.04,*,AAP151016P00260000,,put,10/16/2015,10/01/2015,260,85.5,67.2,70.4,0,9,1.1633,-0.8783,0.4461,-30.3383,7.8628,AAP151016P00260000
AAP,192.04,*,AAP151016C00270000,,call,10/16/2015,10/01/2015,270,0,0,0.5,0,0,0.9006,0.038,0.2356,-9.6572,3.2143,AAP151016C00270000
AAP,192.04,*,AAP151016P00270000,,put,10/16/2015,10/01/2015,270,95.5,77.1,80.3,0,10,1.2491,-0.8885,0.3904,-30.6007,7.3881,AAP151016P00270000
AAP,192.04,*,AAP151120C00090000,,call,11/20/2015,10/01/2015,90,0,99.7,103.1,0,0,1.1999,0.9732,0.0727,-5.3469,4.4077,AAP151120C00090000
AAP,192.04,*,AAP151120P00090000,,put,11/20/2015,10/01/2015,90,0,0,0.5,0,0,1.0547,-0.0163,0.0542,-3.0415,2.8859,AAP151120P00090000
AAP,192.04,*,AAP151120C00095000,,call,11/20/2015,10/01/2015,95,0,94.7,98.2,0,0,1.1446,0.9695,0.0847,-5.667,4.8976,AAP151120C00095000
AAP,192.04,*,AAP151120P00095000,,put,11/20/2015,10/01/2015,95,0,0,0.5,0,0,0.9868,-0.0174,0.0613,-3.0132,3.0559,AAP151120P00095000
AAP,192.04,*,AAP151120C00100000,,call,11/20/2015,10/01/2015,100,0,89.7,93.1,0,0,1.0514,0.9694,0.0925,-5.2293,4.9125,AAP151120C00100000
AAP,192.04,*,AAP151120P00100000,,put,11/20/2015,10/01/2015,100,0.15,0,0.5,0,25,0.9223,-0.0186,0.0695,-2.9828,3.2368,AAP151120P00100000
AAP,192.04,*,AAP151120C00105000,,call,11/20/2015,10/01/2015,105,0,85,87.9,0,0,0.9416,0.9718,0.0966,-4.3954,4.5957,AAP151120C00105000
AAP,192.04,*,AAP151120P00105000,,put,11/20/2015,10/01/2015,105,0,0,0.5,0,0,0.8608,-0.0199,0.0789,-2.9489,3.4288,AAP151120P00105000
AAP,192.04,*,AAP151120C00110000,,call,11/20/2015,10/01/2015,110,0,80,83.1,0,0,0.9166,0.9651,0.1183,-5.0933,5.4794,AAP151120C00110000
AAP,192.04,*,AAP151120P00110000,,put,11/20/2015,10/01/2015,110,0,0,0.5,0,0,0.802,-0.0213,0.0897,-2.9132,3.6357,AAP151120P00110000
AAP,192.04,*,AAP151120C00115000,,call,11/20/2015,10/01/2015,115,0,75,78.1,0,0,0.8536,0.9626,0.1344,-5.0185,5.793,AAP151120C00115000
AAP,192.04,*,AAP151120P00115000,,put,11/20/2015,10/01/2015,115,0,0,0.5,0,0,0.7457,-0.0229,0.1024,-2.8748,3.8591,AAP151120P00115000
